time, 0.00          ,   4.500000E+00,   1.450000E+01,   2.450000E+01,   3.450000E+01,   4.450000E+01,   5.450000E+01,   6.450000E+01,   7.450000E+01,   8.450000E+01,   9.450000E+01,   1.045000E+02,   1.145000E+02,   1.245000E+02,   1.345000E+02,   1.445000E+02,   1.545000E+02,   1.645000E+02,   1.745000E+02,   1.845000E+02,   1.945000E+02,   2.045000E+02,   2.145000E+02,   2.245000E+02,   2.345000E+02,   2.445000E+02,   2.545000E+02,   2.645000E+02,   2.745000E+02,   2.845000E+02,   2.945000E+02,   3.045000E+02,   3.145000E+02,   3.245000E+02,   3.345000E+02,   3.445000E+02,   3.545000E+02,   3.645000E+02,   3.745000E+02,   3.845000E+02,   3.945000E+02,   4.045000E+02,   4.145000E+02,   4.245000E+02,   4.345000E+02,   4.445000E+02,   4.545000E+02,   4.645000E+02,   4.745000E+02,   4.845000E+02,   4.945000E+02,   5.045000E+02
km,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00
kb,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00,  -2.000000E+00
c13,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02,   4.896109E-02
c24,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02,   4.031172E-02
gamma[1],   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01,   4.396836E-01
gamma[2],   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01,   3.420689E-01
v1,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.240000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   2.820000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   3.180000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   2.820000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   3.180000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   2.820000E+00
v2,   3.000000E+00,   3.000000E+00,   3.000000E+00,   2.760000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   3.180000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   2.820000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   3.180000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   2.820000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   2.700000E+00,   3.180000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   3.300000E+00,   2.820000E+00
h[1],   1.246000E+01,   1.248637E+01,   1.253472E+01,   1.258018E+01,   1.270055E+01,   1.280015E+01,   1.285870E+01,   1.288520E+01,   1.288714E+01,   1.285736E+01,   1.285854E+01,   1.290890E+01,   1.299687E+01,   1.311062E+01,   1.324130E+01,   1.338859E+01,   1.329227E+01,   1.311253E+01,   1.291288E+01,   1.270114E+01,   1.248374E+01,   1.225850E+01,   1.228962E+01,   1.241479E+01,   1.256659E+01,   1.273502E+01,   1.291269E+01,   1.310598E+01,   1.326010E+01,   1.335693E+01,   1.340509E+01,   1.341523E+01,   1.339624E+01,   1.333691E+01,   1.309590E+01,   1.287203E+01,   1.271042E+01,   1.259750E+01,   1.252259E+01,   1.248294E+01,   1.267532E+01,   1.291513E+01,   1.314312E+01,   1.335866E+01,   1.356149E+01,   1.375163E+01,   1.392931E+01,   1.409487E+01,   1.424877E+01,   1.439154E+01,   1.452373E+01,   1.465188E+01
