time,k116,k1,kd1,k1c,kd1c,kd1d,kd6,kd122,k122,k119
5940,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6030,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6120,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6210,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6300,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6390,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6480,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6570,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6660,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6750,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6840,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
6930,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7020,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7110,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7200,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7290,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7380,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7470,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7560,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7650,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7740,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7830,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
7920,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8010,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8100,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8190,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8280,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8370,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8460,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8550,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8640,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8730,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8820,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
8910,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
9000,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
